icao,iata,name,lat,lon,tz,country
06AA,,Twisted Sisters Airport,60.540139,-150.813611,America/Anchorage,US
06AK,,June Lake Airpark,61.627619,-149.575331,America/Anchorage,US
06AN,,Niesen Airstrip,60.73382,-151.213594,America/Anchorage,US
06AR,,Cy Bond Memorial Airport,35.544522,-92.184874,America/Chicago,US
06CO,,Jecan Airport,37.387514,-103.691061,America/Denver,US
06FA,,William P Gwinn Airport,26.908153,-80.328414,America/New_York,US
06FD,,Grass Roots Airpark,28.641667,-81.885,America/New_York,US
06IA,,Rich Field,41.840142,-91.834414,America/Chicago,US
06ID,,Larkin Airport,43.462665,-116.359008,America/Boise,US
06IL,,Humm Airport,41.599528,-88.869944,America/Chicago,US
06IS,,Sinele Strip,40.546432,-91.274316,America/Chicago,US
06MO,,Noahs Ark Airport,39.230876,-94.801536,America/Chicago,US
06MT,,Torgerson Airport,48.558317,-112.109204,America/Denver,US
06NC,,Tailwinds Airport,34.8275,-78.930278,America/New_York,US
06NH,,Cole Farm Airport,42.928422,-70.973111,America/New_York,US
06NV,,Silver Creek Airport,39.098333,-114.150278,America/Los_Angeles,US
06NY,,Murphy Field,42.842778,-76.445278,America/New_York,US
06OH,,Hal Joy Airfield,41.509776,-80.591186,America/New_York,US
06OI,,Green Acres Airport,39.734778,-84.382222,America/New_York,US
06PA,,Freefall Oz Airport,41.996,-78.2865,America/New_York,US
06TA,,Glaser Field,30.90852,-97.116936,America/Chicago,US
06TE,,Cavok Airpark,30.312958,-95.027285,America/Chicago,US
06TN,,Hunter Airport,35.697291,-86.956947,America/Chicago,US
06TS,,M Sansom Ranch Airport,31.421592,-99.836575,America/Chicago,US
06TT,,6 Mile Airpark,30.860024,-100.201996,America/Chicago,US
06TX,,Diamond N Ranch Airport,30.05755,-95.812894,America/Chicago,US
06VA,,Mount Horeb Field,38.249019,-78.855303,America/New_York,US
06WI,,Lazy River Airport,45.402761,-87.857317,America/Chicago,US
06WN,,Western Airpark,46.924985,-122.553039,America/Los_Angeles,US
06XA,,J & W Windy Hill Airport,33.445983,-96.570797,America/Chicago,US
06XS,,Campbell Field,33.324722,-97.044167,America/Chicago,US
07AA,,Pan Lake Strip,61.695964,-149.954903,America/Anchorage,US
07AN,,Bro Majors Airfield,62.825556,-149.910807,America/Anchorage,US
07AR,,Morrilton Airport,35.194527,-92.800166,America/Chicago,US
07CL,,Richvale Airport,39.497664,-121.771365,America/Los_Angeles,US
07FA,OCA,Ocean Reef Club Airport,25.324307,-80.275729,America/New_York,US
07GA,,Alcovy Airport,33.675,-83.763056,America/New_York,US
07GE,,Pope Pate Field,31.555662,-83.27849,America/New_York,US
07IA,,Hoskins Landing Airport,40.647888,-95.02135,America/Chicago,US
07ID,,Shepard Strip,48.14921,-116.998013,America/Boise,US
07IN,,Gray Airport,39.573659,-85.913871,America/Indiana/Indianapolis,US
07KS,,Heape Field,37.734184,-96.936701,America/Chicago,US
07KY,,Blue Lick Airport,38.080622,-85.693292,America/New_York,US
07LA,,Richmond Plantation Airport,31.053,-92.632875,America/Chicago,US
07MD,,Baugher's Orchard Airport,39.609047,-77.047997,America/New_York,US
07MO,,Lake Sexton Airport,38.650015,-93.616879,America/Chicago,US
07MT,,Glasgow Industrial Airport,48.421095,-106.527716,America/Denver,US
07NC,,Hawks Meadow Airport,34.833204,-80.751178,America/New_York,US
07NV,,Border Line Farm Airport,39.102222,-114.053333,America/Los_Angeles,US
07OK,,Pleasant Valley Airport,34.633405,-99.033689,America/Chicago,US
07PA,,Dream Air Airport,41.853081,-80.4072,America/New_York,US
07PN,,Folmar Airport,40.998889,-78.125278,America/New_York,US
07TA,,Salaika Aviation Airport,29.240519,-95.344658,America/Chicago,US
07TE,,Peak 7 Ranch Airport,33.544076,-97.031587,America/Chicago,US
07TS,,Cross Country Estates Marshall Field,30.625456,-97.571353,America/Chicago,US
07UT,,E Northrop Grumman Airport,41.716667,-112.447222,America/Denver,US
07VA,,Alpha Hotel Airport,36.821889,-78.766861,America/New_York,US
07VT,,Meadow Airport,44.447222,-72.914722,America/New_York,US
08AK,,Fisher Airport,61.569639,-149.724439,America/Anchorage,US
08AN,,Base Camp Airstrip,61.704295,-149.212506,America/Anchorage,US
08AR,,Garrison Airport,33.723611,-94.145278,America/Chicago,US
08CL,,Kistler Ranch Airport,37.859649,-120.554366,America/Los_Angeles,US
08CO,,Terra Firma Airport,38.732472,-104.041333,America/Denver,US
08FA,,Duda Airstrip,26.579795,-81.483689,America/New_York,US
08FD,,Sunniland Ranch Airport,27.363098,-80.7726,America/New_York,US
08FL,,J H Hendrie Farms Airport,27.084497,-81.328683,America/New_York,US
08GA,,Sapelo Island Airport,31.42578,-81.285929,America/New_York,US
08ID,,Symms Airport,43.569325,-116.776805,America/Boise,US
08IL,,Marshall Farms Airport,41.860383,-88.655742,America/Chicago,US
08KS,,Alderson Airport,39.034388,-97.579999,America/Chicago,US
08KY,,Boss Airport,36.973089,-84.626036,America/New_York,US
08LL,,Sauer Airport,41.075278,-88.489167,America/Chicago,US
08LS,,Aeleron Airport,30.40925,-92.033167,America/Chicago,US
08ME,,Lindbergh Airport,44.814224,-70.345344,America/New_York,US
08MO,,Twin Oaks Airport,37.395606,-94.283836,America/Chicago,US
08MS,,Midsouth Airpark,34.662222,-89.868333,America/Chicago,US
08MT,,Matovich Airport,47.063863,-108.817369,America/Denver,US
08ND,,Brecht Strip,47.323064,-102.097673,America/North_Dakota/Beulah,US
08NR,,Bell Mountain Airport,35.217778,-82.426111,America/New_York,US
08NY,,Md1 Airport,41.367261,-74.518934,America/New_York,US
